"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Guinea","GIN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","274876","263172","281920","299360","301810","310655","323652","329308","","","","","","","320194","320998","321101","313985","270122","257437","245243","242165","235167","223958","233903","221975","185783","155316","160234","143455","110646","172422","119685","","92136","107695","79884","144387","","",
"Gambia, The","GMB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","30189","31381","31798","32615","33215","33606","31124","29713","28579","27401","24326","23644","23482","24753","24236","25722","","","","","","46049","45385","","","44322","","46476","37776","43156","45231","48285","47181","49330","54299","50443","50239","59146","","61509","66308","65692","69057","73763","67610","68250","66302","65167","61790","60409","62633","63802","65300",
"Guinea-Bissau","GNB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","34557","27427","","30978","31814","","40863","42596","","","","","","","","","","","","42391","","","","","","","","","","36588","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14135","","","","","","18324","18541","20507","22810","","","","","40766","41528","42061","41830","42304","","","56137","","","","","","","","",
"Greece","GRC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","4698","9012","11951","11834","12534","10231","10576","11523","13860","20152","19061","22519","21641","22669","22587","25899","35369","31697","34026","35001","34757","33568","29570","25660","22597","24474","20170","","","","","","","","","","304","","","","2459","4161","2555","5453","5377","2854","4949","8026","8417","8244","7816","","",
"Grenada","GRD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","1559","","","","","938","774","683","819","1103","1326","1264","1008","","","","","","","","","","","","","","","","","","333","","","701","","288","","","","","","","","","121","","596","","","1439","","",
"Greenland","GRL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","214426","213762","216499","","226294","225441","","","222044","","","200819","229034","207535","","","","","","","","","","","","","","230775","","135130","119958","132766","104483","","60816","48968","36674","28163","28309","","","24379","53714","79184","101044","106070","117236","109249","99511","101956","103987","90146","89725","",
"Guam","GUM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","9647","10094","","10318","","10962","5518","","4918","","","3991","","","","","","","","","3032","3569","4271","","3787","5528","","","","","","","4249","","","","","","1842","","","","","","","","","","","7554","7854","","",
